	a	b	L	AcceptingState
q0	{}	{}	{q1,q55}	0
q1	{}	{}	{q2,q28}	0
q2	{}	{}	{q3,q5,q7}	0
q3	{q4}	{}	{}	0
q4	{}	{}	{q7}	0
q5	{}	{q6}	{}	0
q6	{}	{}	{q7}	0
q7	{}	{}	{q2,q8}	0
q8	{q9}	{}	{}	0
q9	{}	{}	{q10}	0
q10	{q11}	{}	{}	0
q11	{}	{}	{q12}	0
q12	{}	{}	{q13,q15,q17}	0
q13	{q14}	{}	{}	0
q14	{}	{}	{q17}	0
q15	{}	{q16}	{}	0
q16	{}	{}	{q17}	0
q17	{}	{}	{q12,q18}	0
q18	{}	{q19}	{}	0
q19	{}	{}	{q20}	0
q20	{}	{q21}	{}	0
q21	{}	{}	{q22}	0
q22	{}	{}	{q23,q25,q27}	0
q23	{q24}	{}	{}	0
q24	{}	{}	{q27}	0
q25	{}	{q26}	{}	0
q26	{}	{}	{q27}	0
q27	{}	{}	{q22,q54}	0
q28	{}	{}	{q29,q31,q33}	0
q29	{q30}	{}	{}	0
q30	{}	{}	{q33}	0
q31	{}	{q32}	{}	0
q32	{}	{}	{q33}	0
q33	{}	{}	{q28,q34}	0
q34	{}	{q35}	{}	0
q35	{}	{}	{q36}	0
q36	{}	{q37}	{}	0
q37	{}	{}	{q38}	0
q38	{}	{}	{q39,q41,q43}	0
q39	{q40}	{}	{}	0
q40	{}	{}	{q43}	0
q41	{}	{q42}	{}	0
q42	{}	{}	{q43}	0
q43	{}	{}	{q38,q44}	0
q44	{q45}	{}	{}	0
q45	{}	{}	{q46}	0
q46	{q47}	{}	{}	0
q47	{}	{}	{q48}	0
q48	{}	{}	{q49,q51,q53}	0
q49	{q50}	{}	{}	0
q50	{}	{}	{q53}	0
q51	{}	{q52}	{}	0
q52	{}	{}	{q53}	0
q53	{}	{}	{q48,q54}	0
q54	{}	{}	{q69}	0
q55	{}	{}	{q56,q62}	0
q56	{q57}	{}	{q59}	0
q57	{}	{}	{q58}	0
q58	{}	{q59}	{}	0
q59	{}	{}	{q56,q60}	0
q60	{q61}	{}	{q61}	0
q61	{}	{}	{q68}	0
q62	{}	{q63}	{q65}	0
q63	{}	{}	{q64}	0
q64	{q65}	{}	{}	0
q65	{}	{}	{q62,q66}	0
q66	{}	{q67}	{q67}	0
q67	{}	{}	{q68}	0
q68	{}	{}	{q69}	0
q69	{}	{}	{}	1
